iter	Passed	Remaining
838	1132	217
839	1134	216
840	1135	214
841	1136	213
842	1138	212
843	1142	211
844	1144	209
845	1146	208
846	1148	207
847	1149	206
848	1161	206
849	1165	205
850	1176	205
851	1177	204
852	1179	203
853	1181	201
854	1182	200
855	1209	203
856	1210	201
857	1211	200
858	1224	201
859	1226	199
860	1228	198
861	1229	196
862	1230	195
863	1232	193
864	1233	192
865	1236	191
866	1237	189
867	1239	188
868	1240	186
869	1241	185
870	1242	184
871	1243	182
872	1245	181
873	1246	179
874	1247	178
875	1249	176
876	1251	175
877	1252	174
878	1254	172
879	1255	171
880	1256	169
881	1257	168
882	1258	166
883	1284	168
884	1285	167
885	1286	165
886	1287	164
887	1288	162
888	1290	161
889	1291	159
890	1323	161
891	1324	160
892	1326	158
893	1327	157
894	1328	155
895	1332	154
896	1334	153
897	1335	151
898	1337	150
899	1339	148
900	1341	147
901	1342	145
902	1343	144
903	1346	142
904	1347	141
905	1348	139
906	1349	138
907	1350	136
908	1351	135
909	1352	133
910	1353	132
911	1355	130
912	1356	129
913	1357	127
914	1360	126
915	1362	124
916	1363	123
917	1364	121
918	1365	120
919	1366	118
920	1367	117
921	1368	115
922	1369	114
923	1370	112
924	1371	111
925	1372	109
926	1375	108
927	1377	106
928	1378	105
929	1381	103
930	1382	102
931	1383	100
932	1385	99
933	1387	98
934	1389	96
935	1391	95
936	1392	93
937	1393	92
938	1394	90
939	1395	89
940	1396	87
941	1397	86
942	1398	84
943	1400	83
944	1401	81
945	1405	80
946	1406	78
947	1409	77
948	1410	75
949	1413	74
950	1415	72
951	1417	71
952	1424	70
953	1426	68
954	1427	67
955	1429	65
956	1431	64
957	1432	62
958	1436	61
959	1438	59
960	1444	58
961	1445	57
962	1446	55
963	1448	54
964	1449	52
965	1452	51
966	1454	49
967	1455	48
968	1456	46
969	1458	45
970	1460	43
971	1461	42
972	1463	40
973	1464	39
974	1466	37
975	1467	36
976	1469	34
977	1470	33
978	1471	31
979	1472	30
980	1474	28
981	1475	27
982	1483	25
983	1485	24
984	1486	22
985	1487	21
986	1489	19
987	1490	18
988	1497	16
989	1499	15
990	1501	13
991	1502	12
992	1504	10
993	1505	9
994	1506	7
995	1510	6
996	1512	4
997	1513	3
998	1514	1
999	1516	0
